"","lon","lat","time","xco2","uncertanty","quality_flag","date","mes"
"10066",-56.8134803771973,-9.2065486907959,1601486921.61502,413.845581054688,0.528844594955444,0,2020-09-30,9
"10067",-56.8212699890137,-9.21371650695801,1601486921.64201,416.354949951172,0.719399631023407,1,2020-09-30,9
"10068",-56.8290672302246,-9.22076225280762,1601486921.66901,414.600982666016,0.631911039352417,1,2020-09-30,9
"10069",-56.8369445800781,-9.22777366638184,1601486921.69601,413.602081298828,0.72196489572525,1,2020-09-30,9
"10070",-56.8448715209961,-9.23473262786865,1601486921.723,410.509979248047,0.634222328662872,1,2020-09-30,9
"10071",-56.852855682373,-9.24164581298828,1601486921.74899,412.882720947266,0.656388938426971,1,2020-09-30,9
"10072",-56.8332824707031,-9.20078372955322,1601486922.00202,415.749877929688,0.752999186515808,1,2020-09-30,9
"10073",-56.8411521911621,-9.20779991149902,1601486922.02902,413.182403564453,0.68701159954071,1,2020-09-30,9
"10074",-56.8490753173828,-9.21476364135742,1601486922.05601,414.772338867188,0.719694554805756,1,2020-09-30,9
"10075",-56.8534049987793,-9.19461059570312,1601486922.38902,413.741485595703,0.777054727077484,1,2020-09-30,9
"10076",-56.8613967895508,-9.20150566101074,1601486922.41602,412.157318115234,0.836725533008575,1,2020-09-30,9
"10077",-56.8111228942871,-9.13175010681152,1601486922.56202,412.178924560547,0.451139330863953,1,2020-09-30,9
"10078",-56.8187294006348,-9.13897514343262,1601486922.58801,409.795318603516,0.448560655117035,1,2020-09-30,9
"10079",-56.8578338623047,-9.17430877685547,1601486922.723,411.312652587891,0.516707420349121,1,2020-09-30,9
"10080",-56.8658180236816,-9.18120956420898,1601486922.74903,413.514038085938,0.568453848361969,1,2020-09-30,9
"10081",-56.8155860900879,-9.11142158508301,1601486922.89499,413.10546875,0.655495584011078,1,2020-09-30,9
"10082",-56.8386726379395,-9.13301753997803,1601486922.97502,409.915191650391,0.622008681297302,1,2020-09-30,9
"10083",-56.8509063720703,-9.11979675292969,1601486923.33599,411.840972900391,0.415582805871964,1,2020-09-30,9
"10084",-56.858772277832,-9.12681579589844,1601486923.36303,408.126922607422,0.425040245056152,1,2020-09-30,9
"10085",-56.8666915893555,-9.13378238677979,1601486923.38902,414.642303466797,0.399263739585876,1,2020-09-30,9
"10086",-56.8746681213379,-9.14070320129395,1601486923.41601,413.8115234375,0.552608132362366,0,2020-09-30,9
"10087",-56.8632202148438,-9.10664749145508,1601486923.69599,414.071838378906,0.707778930664062,1,2020-09-30,9
"10088",-56.8791007995605,-9.12054347991943,1601486923.74902,412.077575683594,0.640133559703827,1,2020-09-30,9
"10089",-56.8289985656738,-9.05072021484375,1601486923.89499,413.038909912109,0.615147233009338,1,2020-09-30,9
"10090",-56.8442687988281,-9.06520652770996,1601486923.94802,413.825622558594,0.696919620037079,1,2020-09-30,9
"10091",-56.8642044067383,-9.05929756164551,1601486924.33602,412.870819091797,0.687140345573425,1,2020-09-30,9
"10092",-56.8720436096191,-9.06633377075195,1601486924.36302,412.100738525391,0.514938175678253,1,2020-09-30,9
"10093",-56.8799324035645,-9.07331848144531,1601486924.38901,413.88916015625,0.658900082111359,1,2020-09-30,9
"10094",-56.8878784179688,-9.08025646209717,1601486924.41601,415.171752929688,0.678696513175964,1,2020-09-30,9
"10095",-56.8377952575684,-9.01039218902588,1601486924.56201,413.064849853516,0.647772967815399,1,2020-09-30,9
"10096",-56.8453559875488,-9.01765918731689,1601486924.588,414.300933837891,0.630185067653656,1,2020-09-30,9
"10097",-56.8842277526855,-9.05320453643799,1601486924.72303,410.961975097656,0.673223197460175,1,2020-09-30,9
"10098",-56.8421249389648,-8.9902515411377,1601486924.89502,413.4873046875,0.628977298736572,1,2020-09-30,9
"10099",-56.8573341369629,-9.00477313995361,1601486924.94801,409.917999267578,0.689493477344513,1,2020-09-30,9
"10100",-56.8728179931641,-9.01905250549316,1601486925.002,411.828552246094,0.670933544635773,1,2020-09-30,9
"10101",-56.8885231018066,-9.03309154510498,1601486925.056,412.501434326172,0.53648829460144,1,2020-09-30,9
"10102",-56.8964576721191,-9.0400390625,1601486925.08299,410.995758056641,0.666296184062958,1,2020-09-30,9
"10103",-56.8540000915527,-8.97737693786621,1601486925.25499,413.65185546875,0.632838845252991,1,2020-09-30,9
"10104",-56.869384765625,-8.99182510375977,1601486925.30902,412.584381103516,0.64161628484726,1,2020-09-30,9
"10105",-56.8771209716797,-8.99890327453613,1601486925.33602,413.542144775391,0.63785719871521,1,2020-09-30,9
"10106",-56.8849411010742,-9.00594806671143,1601486925.36301,413.015655517578,0.663293063640594,1,2020-09-30,9
"10107",-56.9007415771484,-9.01988697052002,1601486925.416,413.969635009766,0.649806618690491,1,2020-09-30,9
"10108",-56.8736877441406,-8.97163105010986,1601486925.64199,414.590301513672,0.71342408657074,1,2020-09-30,9
"10109",-56.889232635498,-8.98576259613037,1601486925.69602,414.364196777344,0.647225856781006,1,2020-09-30,9
"10110",-56.8970985412598,-8.99275875091553,1601486925.72302,413.634857177734,0.646118640899658,1,2020-09-30,9
"10111",-56.8935241699219,-8.965576171875,1601486926.02899,413.978210449219,0.636267840862274,1,2020-09-30,9
"10112",-56.9093017578125,-8.97953414916992,1601486926.08303,413.361450195312,0.692688405513763,1,2020-09-30,9
"10113",-56.8594169616699,-8.90948963165283,1601486926.22803,415.866516113281,0.69742089509964,1,2020-09-30,9
"10114",-56.8978042602539,-8.94543743133545,1601486926.36301,416.4404296875,0.691733121871948,1,2020-09-30,9
"10115",-56.8788604736328,-8.90395164489746,1601486926.61499,416.952880859375,0.665328741073608,1,2020-09-30,9
"10116",-56.8865699768066,-8.91117668151855,1601486926.64199,415.285034179688,0.697570979595184,1,2020-09-30,9
"10117",-56.9178237915039,-8.9393424987793,1601486926.74901,415.100799560547,0.770100176334381,1,2020-09-30,9
"10118",-56.9141845703125,-8.91228675842285,1601486927.05603,415.109405517578,0.619037330150604,1,2020-09-30,9
"10119",-57.0715446472168,-8.13939571380615,1601486939.69599,411.929046630859,0.462637156248093,1,2020-09-30,9
"10120",-57.079158782959,-8.14659690856934,1601486939.72303,414.514801025391,0.683528780937195,1,2020-09-30,9
"10121",-57.0833778381348,-8.12659931182861,1601486940.05599,412.152252197266,0.656867980957031,1,2020-09-30,9
"10122",-57.0910415649414,-8.13376045227051,1601486940.08299,413.391296386719,0.660827398300171,1,2020-09-30,9
"10123",-57.080436706543,-7.92862987518311,1601486942.58803,413.331024169922,0.598690032958984,1,2020-09-30,9
"10124",-57.1068420410156,-7.9307918548584,1601486943.00203,415.977264404297,0.795875132083893,1,2020-09-30,9
"10125",-57.1808738708496,-7.71151256561279,1601486947.08299,412.794464111328,0.651333510875702,1,2020-09-30,9
"10126",-57.2083053588867,-7.29634714126587,1601486952.89499,412.929138183594,0.718267500400543,1,2020-09-30,9
"10127",-57.2170715332031,-7.25608158111572,1601486953.56202,411.870758056641,0.66773396730423,1,2020-09-30,9
"10128",-57.2427940368652,-7.25880718231201,1601486953.97501,413.019897460938,0.729256212711334,1,2020-09-30,9
"10129",-57.8479766845703,-4.38904571533203,1601487001.28202,414.915466308594,0.674441874027252,1,2020-09-30,9
"10130",-58.751163482666,-0.241064384579659,1601487070.36299,413.705657958984,0.57520455121994,1,2020-09-30,9
"10131",-58.7314682006836,-0.176593542098999,1601487070.56203,413.256011962891,0.592055380344391,1,2020-09-30,9
"10132",-58.7455902099609,-0.203398585319519,1601487070.64201,413.034729003906,0.581906676292419,1,2020-09-30,9
"10133",-58.750431060791,-0.212204560637474,1601487070.66901,413.607818603516,0.552474796772003,1,2020-09-30,9
"10134",-58.7553558349609,-0.22100231051445,1601487070.696,412.536987304688,0.558267891407013,1,2020-09-30,9
"10135",-58.745002746582,-0.174405440688133,1601487070.94802,412.929656982422,0.559448957443237,1,2020-09-30,9
"10136",-58.7546272277832,-0.192139059305191,1601487071.00202,411.726593017578,0.579484581947327,1,2020-09-30,9
"10137",-58.7645263671875,-0.20970743894577,1601487071.05601,414.162109375,0.533314347267151,1,2020-09-30,9
"10138",-58.7687301635742,-0.189613655209541,1601487071.38902,412.728363037109,0.550357222557068,1,2020-09-30,9
"10139",-57.0668258666992,-3.30733299255371,1601659078.642,415.399688720703,0.810884416103363,1,2020-10-02,10
"10140",-57.0731735229492,-3.31644630432129,1601659078.669,413.998565673828,0.774490773677826,1,2020-10-02,10
"10141",-57.0771598815918,-3.29761028289795,1601659079.00201,413.254455566406,0.627666234970093,1,2020-10-02,10
"10142",-57.1101608276367,-3.22184371948242,1601659080.72302,410.9375,0.343692600727081,1,2020-10-02,10
"10143",-57.1012344360352,-3.18491196632385,1601659081.002,413.119293212891,0.471744149923325,1,2020-10-02,10
"10144",-57.113899230957,-3.20316004753113,1601659081.05599,412.115570068359,0.386845469474792,1,2020-10-02,10
"10145",-57.09033203125,-3.11979746818542,1601659081.58799,416.045745849609,0.721571743488312,1,2020-10-02,10
"10146",-57.0964889526367,-3.12909817695618,1601659081.61499,412.387756347656,0.625569641590118,1,2020-10-02,10
"10147",-57.1193466186523,-3.13793659210205,1601659082.02903,410.413055419922,0.435636013746262,1,2020-10-02,10
"10148",-57.1251640319824,-3.07267212867737,1601659083.00202,412.685424804688,0.900892615318298,1,2020-10-02,10
"10149",-57.1741943359375,-2.92317056655884,1601659086.056,412.242736816406,0.391963571310043,1,2020-10-02,10
"10150",-57.1846160888672,-2.91365265846252,1601659086.41601,412.084777832031,0.392432063817978,0,2020-10-02,10
"10151",-57.1796226501465,-2.78301095962524,1601659087.975,411.128936767578,0.369834452867508,1,2020-10-02,10
"10152",-57.1715927124023,-2.74551630020142,1601659088.25502,409.712951660156,0.353505611419678,1,2020-10-02,10
"10153",-57.1835403442383,-2.76423501968384,1601659088.30902,411.320770263672,0.346705853939056,1,2020-10-02,10
"10154",-57.2083358764648,-2.80104684829712,1601659088.416,411.0458984375,0.368935823440552,1,2020-10-02,10
"10155",-57.1755065917969,-2.72673177719116,1601659088.58799,412.815307617188,0.435687303543091,1,2020-10-02,10
"10156",-57.1814270019531,-2.73610639572144,1601659088.61499,413.157165527344,0.3860003054142,1,2020-10-02,10
"10157",-57.1874542236328,-2.74546122550964,1601659088.64203,412.249633789062,0.320161789655685,1,2020-10-02,10
"10158",-57.1996955871582,-2.76393032073975,1601659088.69602,412.912017822266,0.371330678462982,1,2020-10-02,10
"10159",-57.205940246582,-2.77312803268433,1601659088.72302,413.533203125,0.543888568878174,1,2020-10-02,10
"10160",-57.2122383117676,-2.78229689598083,1601659088.74901,410.524841308594,0.365282952785492,1,2020-10-02,10
"10161",-57.1854591369629,-2.71735644340515,1601659088.948,411.419525146484,0.353827863931656,1,2020-10-02,10
"10162",-57.2037010192871,-2.74519205093384,1601659089.02899,412.427673339844,0.375110000371933,1,2020-10-02,10
"10163",-57.2099418640137,-2.75439381599426,1601659089.05603,412.301025390625,0.413095951080322,1,2020-10-02,10
"10164",-57.2162628173828,-2.76356935501099,1601659089.08302,412.399688720703,0.521426558494568,1,2020-10-02,10
"10165",-57.213939666748,-2.73565912246704,1601659089.38899,412.071685791016,0.477974712848663,0,2020-10-02,10
"10166",-57.2117004394531,-2.70772790908813,1601659089.69601,411.848815917969,0.392006874084473,0,2020-10-02,10
"10167",-57.2242202758789,-2.72612929344177,1601659089.749,413.661590576172,0.494522511959076,0,2020-10-02,10
"10168",-57.189826965332,-2.62366724014282,1601659090.22802,412.393341064453,0.522487282752991,1,2020-10-02,10
"10169",-57.213737487793,-2.586092710495,1601659091.282,406.515716552734,0.36376366019249,1,2020-10-02,10
"10170",-57.2103576660156,-2.529700756073,1601659091.895,407.873596191406,0.46575602889061,1,2020-10-02,10
"10171",-57.2259788513184,-2.52976822853088,1601659092.282,408.835266113281,0.481297373771667,1,2020-10-02,10
"10172",-57.2185249328613,-2.49218845367432,1601659092.56202,404.248779296875,0.483812004327774,1,2020-10-02,10
"10173",-57.2419624328613,-2.5297064781189,1601659092.669,416.974304199219,0.73271906375885,1,2020-10-02,10
"10174",-57.2561454772949,-2.50151681900024,1601659093.36302,412.485656738281,0.541373908519745,1,2020-10-02,10
"10175",-57.2602653503418,-2.48278617858887,1601659093.69599,414.015197753906,0.376647889614105,1,2020-10-02,10
"10176",-57.2405662536621,-2.426593542099,1601659093.92102,412.582336425781,0.56051778793335,1,2020-10-02,10
"10177",-57.2704162597656,-2.47330546379089,1601659094.056,409.663848876953,0.326696455478668,1,2020-10-02,10
"10178",-57.2683219909668,-2.4453010559082,1601659094.36302,410.5810546875,0.38971734046936,1,2020-10-02,10
"10179",-57.8399810791016,0.244584307074547,1601659142.00203,412.706298828125,0.669729292392731,1,2020-10-02,10
"10180",-57.8488960266113,0.253548860549927,1601659142.363,413.601806640625,0.689409792423248,1,2020-10-02,10
"10181",-57.8579635620117,0.262514740228653,1601659142.723,413.605682373047,0.681090116500854,1,2020-10-02,10
"10182",-57.9329948425293,0.790113627910614,1601659150.895,414.466766357422,0.688469231128693,1,2020-10-02,10
"10183",-57.9456748962402,0.788881897926331,1601659151.282,414.596221923828,0.66906327009201,1,2020-10-02,10
"10184",-57.9539566040039,0.797664225101471,1601659151.64201,414.59375,0.665940284729004,1,2020-10-02,10
"10185",-57.9584197998047,0.787797868251801,1601659151.669,414.917663574219,0.654988288879395,1,2020-10-02,10
"10186",-58.2623901367188,2.20439505577087,1601659176.64199,415.920074462891,0.708524942398071,1,2020-10-02,10
"10187",-58.2663612365723,2.19428539276123,1601659176.66899,417.096862792969,0.678786337375641,1,2020-10-02,10
"10188",-58.2745628356934,2.20274114608765,1601659177.02899,415.576721191406,0.670941054821014,1,2020-10-02,10
"10189",-58.2786750793457,2.1926441192627,1601659177.05599,414.670532226562,0.651889085769653,1,2020-10-02,10
"10190",-58.2869529724121,2.20113730430603,1601659177.416,414.223388671875,0.673982203006744,1,2020-10-02,10
"10191",-59.0033111572266,-6.22647762298584,1602092139.94801,413.914581298828,0.583831608295441,1,2020-10-07,10
"10192",-59.0265235900879,-6.04862499237061,1602092142.562,415.209045410156,0.582085788249969,1,2020-10-07,10
"10193",-59.0379257202148,-6.06558084487915,1602092142.61503,414.454711914062,0.560457110404968,1,2020-10-07,10
"10194",-59.030948638916,-6.028404712677,1602092142.89501,415.530426025391,0.65382981300354,1,2020-10-07,10
"10195",-59.0703048706055,-6.05852890014648,1602092143.38899,412.889739990234,0.589057743549347,1,2020-10-07,10
"10196",-59.8322334289551,-9.59301280975342,1602697252.975,414.900665283203,0.765654683113098,1,2020-10-14,10
"10197",-59.8323554992676,-9.48700618743896,1602697254.22802,410.804870605469,0.47255751490593,1,2020-10-14,10
"10198",-59.8441047668457,-9.50385284423828,1602697254.28201,413.151336669922,0.682669460773468,1,2020-10-14,10
"10199",-59.9620399475098,-8.98871612548828,1602697262.97503,418.387329101562,0.624093532562256,1,2020-10-14,10
"10200",-59.9605751037598,-8.96008014678955,1602697263.28201,413.364837646484,0.737953364849091,1,2020-10-14,10
"10201",-59.966480255127,-8.86250495910645,1602697264.56202,415.93603515625,0.63130247592926,1,2020-10-14,10
"10202",-59.9277572631836,-5.19590044021606,1602869390.74902,413.810943603516,0.699147284030914,1,2020-10-16,10
"10203",-59.9205703735352,-5.09976959228516,1602869391.642,410.584289550781,0.669268786907196,1,2020-10-16,10
"10204",-59.9246711730957,-5.08096647262573,1602869391.975,412.485717773438,0.769807159900665,1,2020-10-16,10
"10205",-59.9434509277344,-5.09206771850586,1602869392.389,412.5615234375,0.75696724653244,1,2020-10-16,10
"10206",-59.9426460266113,-5.06337594985962,1602869392.69602,412.013824462891,0.656255722045898,1,2020-10-16,10
"10207",-59.9476165771484,-5.07332324981689,1602869392.72302,411.484893798828,0.481131911277771,1,2020-10-16,10
"10208",-59.952693939209,-5.08325958251953,1602869392.74901,412.878295898438,0.622876644134521,1,2020-10-16,10
"10209",-59.9642143249512,-4.83594417572021,1602869395.92099,409.06787109375,0.554482400417328,1,2020-10-16,10
"10210",-59.9867401123047,-4.85739803314209,1602869396.36299,409.493347167969,0.446096271276474,1,2020-10-16,10
"10211",-60.0004920959473,-4.8586106300354,1602869396.74899,412.113891601562,0.667419672012329,1,2020-10-16,10
"10212",-59.9985008239746,-4.80120992660522,1602869397.36299,411.420745849609,0.622646033763885,1,2020-10-16,10
"10213",-60.0033149719238,-4.81119585037231,1602869397.38902,412.760467529297,0.646936595439911,1,2020-10-16,10
"10214",-60.0071868896484,-4.7924747467041,1602869397.72299,411.984588623047,0.669326424598694,1,2020-10-16,10
"10215",-60.0656929016113,-4.39540529251099,1602869403.94802,411.677703857422,0.467458754777908,1,2020-10-16,10
"10216",-60.0834579467773,-4.40693140029907,1602869404.36299,411.70068359375,0.450256377458572,1,2020-10-16,10
"10217",-60.0828971862793,-4.37806510925293,1602869404.669,411.692138671875,0.497515082359314,1,2020-10-16,10
"10218",-56.1014862060547,-5.28129768371582,1603646606.89502,412.198455810547,0.753227055072784,1,2020-10-25,10
"10219",-56.1072769165039,-5.3003454208374,1603646606.948,412.678375244141,0.708849966526031,1,2020-10-25,10
"10220",-56.1103134155273,-5.30987071990967,1603646606.975,415.104583740234,0.723427176475525,1,2020-10-25,10
"10221",-56.11572265625,-5.2600531578064,1603646607.61499,409.609222412109,0.827625691890717,1,2020-10-25,10
"10222",-56.1186904907227,-5.20062923431396,1603646608.22802,415.222534179688,0.732952475547791,1,2020-10-25,10
"10223",-56.1230049133301,-5.18052864074707,1603646608.562,411.028076171875,0.753829181194305,1,2020-10-25,10
"10224",-56.1258239746094,-5.19005870819092,1603646608.58799,413.780059814453,0.48342376947403,1,2020-10-25,10
"10225",-56.1287384033203,-5.19961214065552,1603646608.61502,413.120697021484,0.646778225898743,1,2020-10-25,10
"10226",-56.1317443847656,-5.20915603637695,1603646608.64202,415.161346435547,0.741636335849762,1,2020-10-25,10
"10227",-56.1329650878906,-5.17961406707764,1603646608.94799,414.29296875,0.633863568305969,1,2020-10-25,10
"10228",-56.1401748657227,-5.16916275024414,1603646609.30901,414.299499511719,0.755085289478302,1,2020-10-25,10
"10229",-56.1447372436523,-5.08023881912231,1603646610.22801,413.859741210938,0.439776659011841,1,2020-10-25,10
"10230",-56.1548614501953,-5.07923126220703,1603646610.61501,413.819885253906,0.626588046550751,1,2020-10-25,10
"10231",-56.1578407287598,-5.08877849578857,1603646610.64201,414.961364746094,0.752952694892883,1,2020-10-25,10
"10232",-56.1652755737305,-5.07814931869507,1603646611.00202,414.860778808594,0.65719211101532,0,2020-10-25,10
"10233",-56.6248893737793,-2.88119959831238,1603646646.94799,412.522094726562,0.700933337211609,1,2020-10-25,10
"10234",-56.6480674743652,-2.78983926773071,1603646648.642,410.063720703125,0.505962312221527,1,2020-10-25,10
"10235",-56.6589546203613,-2.68017554283142,1603646649.89503,413.961395263672,0.830803990364075,1,2020-10-25,10
"10236",-56.6697082519531,-2.72841930389404,1603646650.029,413.611358642578,0.488997787237167,1,2020-10-25,10
"10237",-56.6673965454102,-2.67935395240784,1603646650.28199,412.132873535156,0.579429566860199,1,2020-10-25,10
"10238",-56.676456451416,-2.71782946586609,1603646650.38901,414.794097900391,0.586011111736298,1,2020-10-25,10
"10239",-57.1574363708496,-3.98463225364685,1604423869.56203,415.020721435547,0.757639586925507,1,2020-11-03,11
"10240",-57.1646957397461,-3.98765754699707,1604423869.94802,415.065673828125,0.719146192073822,1,2020-11-03,11
"10241",-57.1663208007812,-3.99857330322266,1604423869.97502,416.407653808594,0.760629057884216,1,2020-11-03,11
"10242",-57.1787261962891,-3.8908953666687,1604423871.228,411.232818603516,0.817373394966125,1,2020-11-03,11
"10243",-57.1802024841309,-3.90178799629211,1604423871.255,413.868103027344,0.779931724071503,1,2020-11-03,11
"10244",-57.208812713623,-3.81142783164978,1604423873.30902,411.703948974609,0.720761358737946,1,2020-11-03,11
"10245",-57.2124061584473,-3.74123740196228,1604423873.89501,413.581756591797,0.646444737911224,1,2020-11-03,11
"10246",-57.2137985229492,-3.7521333694458,1604423873.921,412.765533447266,0.602897167205811,1,2020-11-03,11
"10247",-57.2152519226074,-3.76306295394897,1604423873.948,414.20556640625,0.578471899032593,1,2020-11-03,11
"10248",-57.2187232971191,-3.78500413894653,1604423874.00199,410.472473144531,0.540896236896515,1,2020-11-03,11
"10249",-57.2210426330566,-3.75542044639587,1604423874.30901,412.915649414062,0.557324469089508,0,2020-11-03,11
"10250",-57.2227058410645,-3.76629304885864,1604423874.33601,415.774047851562,0.5458163022995,1,2020-11-03,11
"10251",-57.2268676757812,-3.74767279624939,1604423874.66902,407.712738037109,0.56973922252655,1,2020-11-03,11
"10252",-57.2286376953125,-3.75858998298645,1604423874.69601,413.977020263672,0.525857448577881,0,2020-11-03,11
"10253",-57.2346649169922,-3.75089240074158,1604423875.05602,408.1669921875,0.594485878944397,1,2020-11-03,11
"10254",-57.2366485595703,-3.76183795928955,1604423875.08302,411.540588378906,0.399342358112335,1,2020-11-03,11
