"","medias_inter$data","x","trend","seasonal","random"
"73",2021 jan,415.996244172127,413.6744287425,1.00255640497587,1.00304846556278
"74",2021 fev,414.720055262248,413.88484829834,1.00152325243944,1.00049396453976
"75",2021 mar,415.646250406901,414.169256306465,1.00127654673812,1.00228669482977
"76",2021 abr,414.625360740806,414.425146910608,0.999676464759651,1.00080690846926
"77",2021 mai,414.253705681537,414.686895741528,1.00000917218353,0.998946217879933
"78",2021 jun,415.086525206635,414.972689927639,1.00053917235154,0.999735290301994
"79",2021 jul,414.051766460192,415.123164615057,0.998516811049321,0.998900642064296
"80",2021 ago,413.997085126695,415.20350681857,0.997143020432022,0.999951224846472
"81",2021 set,414.905801288152,415.269880514478,0.997682830118322,1.00144378618871
"82",2021 out,415.309309940414,415.34065334819,1.00016133122493,0.999763242632641
"83",2021 nov,416.302127994903,415.50581264921,0.99975022776691,1.00216680972544
"84",2021 dez,416.327657063802,415.684788872161,1.00116476596035,1.00038131795716
"85",2022 jan,416.508416244664,415.868411519468,1.00255640497587,0.998985149092515
"86",2022 fev,416.136096074031,416.093020670762,1.00152325243944,0.998582430370815
"87",2022 mar,415.823178296898,416.216900631196,1.00127654673812,0.99778033206951
"88",2022 abr,416.1469808599,416.267232283519,0.999676464759651,1.00003466610638
"89",2022 mai,416.69590878694,416.347870971978,1.00000917218353,1.00082675056765
"90",2022 jun,416.939751452038,416.374895099734,1.00053917235154,1.00081699235949
"91",2022 jul,416.605483750166,NA,0.998516811049321,NA
"92",2022 ago,416.833987467785,NA,0.997143020432022,NA
"93",2022 set,415.042017997471,NA,0.997682830118322,NA
"94",2022 out,416.381052886846,NA,1.00016133122493,NA
"95",2022 nov,417.165713571479,NA,0.99975022776691,NA
"96",2022 dez,416.112650553385,NA,1.00116476596035,NA
